Id,Date,Rating,Comment,Normalized_Comment,POS,Sentiment_TextBlob,Sentiment_TextBlob_Label,Sentiment_BERT,Sentiment_BERT_Label
11," March 2, 2023",5,"It was difficult to set up the picture, bu it has a lot of options so I was able to configure it to have a sharp image for my tasks (mostly programming and AI data analysis)",difficult set picture bu lot option able configure sharp image task mostly programming ai data analysis,"[('difficult', 'JJ'), ('set', 'VBN'), ('picture', 'NN'), ('bu', 'NN'), ('lot', 'NN'), ('option', 'NN'), ('able', 'JJ'), ('configure', 'NN'), ('sharp', 'JJ'), ('image', 'NN'), ('task', 'NN'), ('mostly', 'RB'), ('programming', 'VBG'), ('ai', 'NN'), ('data', 'NNS'), ('analysis', 'NN')]",3,neutral,3,neutral
12," February 26, 2023",5,"Using this to view the output of my tiny 13"" MacBook Pro. Love it! Perfect size (for me) 24"" 1080p monitor is easy to set up and has a very nice stand that makes it hard to tip over. Built-in speakers aren't great but suffice.",using view output tiny macbook pro love perfect size p monitor easy set nice stand make hard tip builtin speaker arent great suffice,"[('using', 'VBG'), ('view', 'NN'), ('output', 'NN'), ('tiny', 'JJ'), ('macbook', 'NN'), ('pro', 'JJ'), ('love', 'FW'), ('perfect', 'NN'), ('size', 'NN'), ('p', 'NN'), ('monitor', 'NN'), ('easy', 'JJ'), ('set', 'VBN'), ('nice', 'JJ'), ('stand', 'NNS'), ('make', 'VBP'), ('hard', 'JJ'), ('tip', 'NN'), ('builtin', 'NN'), ('speaker', 'NN'), ('arent', 'NN'), ('great', 'JJ'), ('suffice', 'NN')]",4,positive,5,positive
13," February 5, 2023",4,"I bought one in October 2022 and one in February 2023. To my surprise, there is. A change between the two monitors. It's in the power cable. It is shorter, in length, and yet also more robust. I had to adjust my setup just a little bit to accommodate the shortened length. Not a huge issue. So if you want to run a dual screen setup, buy two at once to avoid possible updates to the model later on.",bought one october one february surprise change two monitor power cable shorter length yet also robust adjust setup little bit accommodate shortened length huge issue want run dual screen setup buy two avoid possible update model later,"[('bought', 'VBD'), ('one', 'CD'), ('october', 'NNP'), ('one', 'CD'), ('february', 'JJ'), ('surprise', 'NN'), ('change', 'NN'), ('two', 'CD'), ('monitor', 'NN'), ('power', 'NN'), ('cable', 'NN'), ('shorter', 'NN'), ('length', 'NN'), ('yet', 'RB'), ('also', 'RB'), ('robust', 'JJ'), ('adjust', 'RB'), ('setup', 'RB'), ('little', 'JJ'), ('bit', 'NN'), ('accommodate', 'JJ'), ('shortened', 'VBD'), ('length', 'JJ'), ('huge', 'JJ'), ('issue', 'NN'), ('want', 'VBP'), ('run', 'VBN'), ('dual', 'JJ'), ('screen', 'NN'), ('setup', 'NN'), ('buy', 'VBP'), ('two', 'CD'), ('avoid', 'VBP'), ('possible', 'JJ'), ('update', 'JJ'), ('model', 'NN'), ('later', 'RB')]",3,neutral,4,positive
14," February 27, 2023",5,If you’re looking for a basic monitor this is it. I use for programming at my home office and I love it. Speakers aren’t great but that’s not why I bought it. Was able to use an arm monitor mount with no issues.,youre looking basic monitor use programming home office love speaker arent great thats bought able use arm monitor mount issue,"[('youre', 'NN'), ('looking', 'VBG'), ('basic', 'JJ'), ('monitor', 'NN'), ('use', 'NN'), ('programming', 'NN'), ('home', 'NN'), ('office', 'NN'), ('love', 'NN'), ('speaker', 'NN'), ('arent', 'NN'), ('great', 'JJ'), ('thats', 'NNS'), ('bought', 'VBD'), ('able', 'JJ'), ('use', 'NN'), ('arm', 'NN'), ('monitor', 'NN'), ('mount', 'NN'), ('issue', 'NN')]",4,positive,5,positive
15," February 22, 2023",4,"Found this great size monitor for Work needs, I'm no gamer so refresh rates and all didn't matter to me. simple setup and had two HDMI ports which was great and rare to find at this price. overall I'm satisfied and it does its job. Great quality.",found great size monitor work need im gamer refresh rate didnt matter simple setup two hdmi port great rare find price overall im satisfied job great quality,"[('found', 'VBN'), ('great', 'JJ'), ('size', 'NN'), ('monitor', 'NN'), ('work', 'NN'), ('need', 'VBP'), ('im', 'JJ'), ('gamer', 'JJ'), ('refresh', 'NN'), ('rate', 'NN'), ('didnt', 'NNS'), ('matter', 'RB'), ('simple', 'JJ'), ('setup', 'NN'), ('two', 'CD'), ('hdmi', 'NN'), ('port', 'NN'), ('great', 'JJ'), ('rare', 'JJ'), ('find', 'VB'), ('price', 'NN'), ('overall', 'JJ'), ('im', 'NN'), ('satisfied', 'VBD'), ('job', 'NN'), ('great', 'JJ'), ('quality', 'NN')]",4,positive,5,positive
16," March 3, 2023",5,"I am not a computer or monitor geek, but I will say this this is a great value for the money and I really don’t understand the negative complaints",computer monitor geek say great value money really dont understand negative complaint,"[('computer', 'NN'), ('monitor', 'NN'), ('geek', 'JJ'), ('say', 'VBP'), ('great', 'JJ'), ('value', 'NN'), ('money', 'NN'), ('really', 'RB'), ('dont', 'JJ'), ('understand', 'VBP'), ('negative', 'JJ'), ('complaint', 'NN')]",3,neutral,5,positive
17," March 24, 2018",5,"I have a GTX 1060 laptop, set up is easy and there was no need for me to calibrate anything, I even dare say this monitor looks better than my own laptop screen at 1080p.",gtx laptop set easy need calibrate anything even dare say monitor look better laptop screen p,"[('gtx', 'JJ'), ('laptop', 'JJ'), ('set', 'NN'), ('easy', 'JJ'), ('need', 'JJ'), ('calibrate', 'NN'), ('anything', 'NN'), ('even', 'RB'), ('dare', 'VBP'), ('say', 'VBP'), ('monitor', 'NN'), ('look', 'VBP'), ('better', 'JJR'), ('laptop', 'JJ'), ('screen', 'NN'), ('p', 'NN')]",4,positive,5,positive
18," February 20, 2023",4,"The monitors were good quality and performed well except the speakers are virtually unusable for any audio definitely not for a person who is hearing impaired. Did not buy them for the speaker quality, great price and quality screen",monitor good quality performed well except speaker virtually unusable audio definitely person hearing impaired buy speaker quality great price quality screen,"[('monitor', 'NN'), ('good', 'JJ'), ('quality', 'NN'), ('performed', 'VBN'), ('well', 'RB'), ('except', 'IN'), ('speaker', 'NN'), ('virtually', 'RB'), ('unusable', 'JJ'), ('audio', 'NN'), ('definitely', 'RB'), ('person', 'NN'), ('hearing', 'NN'), ('impaired', 'JJ'), ('buy', 'NN'), ('speaker', 'NN'), ('quality', 'NN'), ('great', 'JJ'), ('price', 'NN'), ('quality', 'NN'), ('screen', 'NN')]",4,positive,3,neutral
19," December 27, 2022",5,"I've owned a Sceptre 4K 55'' TV for about 4 years and I'm happy with it. So when I needed a monitor it was one of the brands I looked at. I bought this a couple of months ago and never regretted it. I use it on my desktop, so 1080p was fine for me. Being a smaller screen than the 55 inch, to me it looks just as good. Adding in the price, you can't beat it. It was a easy setup, with the controls on the bottom right. The stand was a snap to install. The only downside to this. is the speakers. Their mounted in the back and throw the sound out that way. They could of at least had them throw the sound downward onto the top of the desk. I tried a test using some paper clip boxes taped to back of the monitor and it worked! Still like all build-in TV or monitor speakers,  they aren't great sounding. Your better off with some 2.1 sound system. Considering the picture quality, easy setup and price this is worthy buy for anyone.",ive owned sceptre k tv year im happy needed monitor one brand looked bought couple month ago never regretted use desktop p fine smaller screen inch look good adding price cant beat easy setup control bottom right stand snap install downside speaker mounted back throw sound way could least throw sound downward onto top desk tried test using paper clip box taped back monitor worked still like buildin tv monitor speaker arent great sounding better sound system considering picture quality easy setup price worthy buy anyone,"[('ive', 'JJ'), ('owned', 'VBD'), ('sceptre', 'JJ'), ('k', 'NN'), ('tv', 'NN'), ('year', 'NN'), ('im', 'NN'), ('happy', 'JJ'), ('needed', 'VBD'), ('monitor', 'NN'), ('one', 'CD'), ('brand', 'NN'), ('looked', 'VBD'), ('bought', 'JJ'), ('couple', 'JJ'), ('month', 'NN'), ('ago', 'RB'), ('never', 'RB'), ('regretted', 'VBN'), ('use', 'NN'), ('desktop', 'NN'), ('p', 'NN'), ('fine', 'JJ'), ('smaller', 'JJR'), ('screen', 'NN'), ('inch', 'JJ'), ('look', 'RB'), ('good', 'JJ'), ('adding', 'VBG'), ('price', 'NN'), ('cant', 'NN'), ('beat', 'VBD'), ('easy', 'JJ'), ('setup', 'NN'), ('control', 'NN'), ('bottom', 'NN'), ('right', 'RB'), ('stand', 'VBP'), ('snap', 'JJ'), ('install', 'NN'), ('downside', 'NN'), ('speaker', 'NN'), ('mounted', 'VBD'), ('back', 'RB'), ('throw', 'JJ'), ('sound', 'NN'), ('way', 'NN'), ('could', 'MD'), ('least', 'VB'), ('throw', 'VB'), ('sound', 'JJ'), ('downward', 'RB'), ('onto', 'IN'), ('top', 'JJ'), ('desk', 'NN'), ('tried', 'VBD'), ('test', 'NN'), ('using', 'VBG'), ('paper', 'NN'), ('clip', 'NN'), ('box', 'NN'), ('taped', 'VBD'), ('back', 'RB'), ('monitor', 'NN'), ('worked', 'VBD'), ('still', 'RB'), ('like', 'IN'), ('buildin', 'JJ'), ('tv', 'NN'), ('monitor', 'NN'), ('speaker', 'NN'), ('arent', 'NN'), ('great', 'JJ'), ('sounding', 'VBG'), ('better', 'JJR'), ('sound', 'NN'), ('system', 'NN'), ('considering', 'VBG'), ('picture', 'NN'), ('quality', 'NN'), ('easy', 'JJ'), ('setup', 'JJ'), ('price', 'NN'), ('worthy', 'JJ'), ('buy', 'VB'), ('anyone', 'NN')]",4,positive,5,positive
20," February 13, 2023",4,"Good quality picture, easy to access controls and inputs. The speaker's sound is harsh like it comes from inside a tin can. A  better-sounding speaker could make this monitor an excellent buy for the price, and a possible five stars overall rating.",good quality picture easy access control input speaker sound harsh like come inside tin bettersounding speaker could make monitor excellent buy price possible five star overall rating,"[('good', 'JJ'), ('quality', 'NN'), ('picture', 'NN'), ('easy', 'JJ'), ('access', 'NN'), ('control', 'NN'), ('input', 'NN'), ('speaker', 'NN'), ('sound', 'VBD'), ('harsh', 'JJ'), ('like', 'IN'), ('come', 'JJ'), ('inside', 'IN'), ('tin', 'NN'), ('bettersounding', 'NN'), ('speaker', 'NN'), ('could', 'MD'), ('make', 'VB'), ('monitor', 'NN'), ('excellent', 'JJ'), ('buy', 'NN'), ('price', 'NN'), ('possible', 'JJ'), ('five', 'CD'), ('star', 'NN'), ('overall', 'NN'), ('rating', 'NN')]",4,positive,4,positive
21," February 24, 2023",5,"I like the Spectre monitors so much, I added this one to the other I have had for a few years. Great quality, easy to setup & works great.",like spectre monitor much added one year great quality easy setup work great,"[('like', 'IN'), ('spectre', 'JJ'), ('monitor', 'NN'), ('much', 'RB'), ('added', 'VBD'), ('one', 'CD'), ('year', 'NN'), ('great', 'JJ'), ('quality', 'NN'), ('easy', 'JJ'), ('setup', 'NN'), ('work', 'NN'), ('great', 'JJ')]",4,positive,5,positive
22," January 12, 2023",5,"I bought this on January 1st but I got faster shipping so it came a day after, I’ve been using it ever since and it hasn’t given me any problems.. at first I was a little skeptical about buying it because I saw some reviews before hand that upon arrival it wouldn’t turn on or the screen would be blinking black which made me kind of questionable about using. I’ve been using it for a little over a week and it hasn’t given me any problems at all, I use it for my PS5 and it runs perfectly with no delay, I’m planning to buy their 20 inch for a secondary monitor in a few days since I was satisfied with this product.",bought january st got faster shipping came day ive using ever since hasnt given problem first little skeptical buying saw review hand upon arrival wouldnt turn screen would blinking black made kind questionable using ive using little week hasnt given problem use p run perfectly delay im planning buy inch secondary monitor day since satisfied product,"[('bought', 'VBD'), ('january', 'JJ'), ('st', 'NN'), ('got', 'VBD'), ('faster', 'RBR'), ('shipping', 'VBG'), ('came', 'VBD'), ('day', 'NN'), ('ive', 'JJ'), ('using', 'VBG'), ('ever', 'RB'), ('since', 'IN'), ('hasnt', 'NN'), ('given', 'VBN'), ('problem', 'NN'), ('first', 'RB'), ('little', 'JJ'), ('skeptical', 'JJ'), ('buying', 'NN'), ('saw', 'NN'), ('review', 'NN'), ('hand', 'NN'), ('upon', 'IN'), ('arrival', 'NN'), ('wouldnt', 'NN'), ('turn', 'NN'), ('screen', 'NN'), ('would', 'MD'), ('blinking', 'VB'), ('black', 'JJ'), ('made', 'VBN'), ('kind', 'NN'), ('questionable', 'JJ'), ('using', 'VBG'), ('ive', 'JJ'), ('using', 'VBG'), ('little', 'JJ'), ('week', 'NN'), ('hasnt', 'NN'), ('given', 'VBN'), ('problem', 'NN'), ('use', 'NN'), ('p', 'NN'), ('run', 'VBP'), ('perfectly', 'RB'), ('delay', 'VBP'), ('im', 'NN'), ('planning', 'NN'), ('buy', 'VB'), ('inch', 'JJ'), ('secondary', 'JJ'), ('monitor', 'NN'), ('day', 'NN'), ('since', 'IN'), ('satisfied', 'JJ'), ('product', 'NN')]",3,neutral,5,positive
24," February 1, 2023",4,"The monitor is great!  Clear picture.  Works well.  My only frustration is that it looks in the picture and is described as a tilting monitor.  It is not.  It's stationary.  I was in a bind and needed to have it, so found another solution to its downward tilt.  Aside from that, good monitor.",monitor great clear picture work well frustration look picture described tilting monitor stationary bind needed found another solution downward tilt aside good monitor,"[('monitor', 'NN'), ('great', 'JJ'), ('clear', 'JJ'), ('picture', 'NN'), ('work', 'NN'), ('well', 'RB'), ('frustration', 'JJ'), ('look', 'NN'), ('picture', 'NN'), ('described', 'VBD'), ('tilting', 'VBG'), ('monitor', 'NN'), ('stationary', 'JJ'), ('bind', 'NN'), ('needed', 'VBN'), ('found', 'VBD'), ('another', 'DT'), ('solution', 'NN'), ('downward', 'RB'), ('tilt', 'JJ'), ('aside', 'RB'), ('good', 'JJ'), ('monitor', 'NN')]",4,positive,4,positive
25," February 18, 2023",4,"I am  very satisfied  with my purchases. I use it for home , if you are on a budget  this is for you.",satisfied purchase use home budget,"[('satisfied', 'JJ'), ('purchase', 'NN'), ('use', 'NN'), ('home', 'NN'), ('budget', 'NN')]",4,positive,5,positive
26," February 18, 2023",5,I have a few around my home including my main PC and they work great.  Their are several where I work at including on my desk with no complaints.,around home including main pc work great several work including desk complaint,"[('around', 'IN'), ('home', 'NN'), ('including', 'VBG'), ('main', 'JJ'), ('pc', 'NN'), ('work', 'NN'), ('great', 'JJ'), ('several', 'JJ'), ('work', 'NN'), ('including', 'VBG'), ('desk', 'NNS'), ('complaint', 'NN')]",3,neutral,5,positive
27," March 4, 2023",5,Was easy to set up and the screen resolution is great,easy set screen resolution great,"[('easy', 'JJ'), ('set', 'NN'), ('screen', 'NN'), ('resolution', 'NN'), ('great', 'JJ')]",4,positive,5,positive
